,mean,std
support_mean_c362,0.6915485427777779,
support_mean_c363,0.6967527091111112,
support_mean_c364,0.6194045690000001,
support_mean_c367,0.40398212349283336,
support_mean_c368,0.4284079355666667,
support_mean_c37,0.44251286113333327,
support_mean_c370,0.4050112245777778,
support_mean_c371,0.6085176843333334,
support_mean_c374,0.8761189682222222,
support_mean_c376,0.5071548086722223,
support_mean_c378,1.00543361,
support_mean_c379,0.5111509816666667,
support_mean_c381,0.6557479953444445,
support_mean_c382,0.6934112367999999,
support_mean_c384,0.40742751772222224,
support_mean_c385,0.7348097931111109,
support_mean_c387,1.1151046057777778,
support_mean_c39,0.4756071684666667,
support_mean_c391,0.7378515751666667,
support_mean_c395,0.5229580089777778,
support_mean_c397,1.2586017122222222,
support_mean_c401,0.6515590897888889,
support_mean_c403,1.2450615476666667,
support_mean_c406,2.2566001043333332,
support_mean_c407,1.3514333306666666,
support_mean_c42,0.5502438426666667,
support_mean_c420,0.41919781911111115,
support_mean_c423,0.7500486181111112,
support_mean_c425,0.8099505724444446,
support_mean_c428,0.5151205131671112,
support_mean_c431,0.46635927521111104,
support_mean_c433,0.3846474095666666,
support_mean_c434,1.0647730752222222,
support_mean_c435,0.7613415174744443,
support_mean_c436,1.2838958928888888,
support_mean_c439,0.4174446051444444,
support_mean_c44,0.7156018143333334,
support_mean_c440,1.0549141694444444,
support_mean_c442,0.839621706611111,
support_mean_c444,0.6728880627777778,
support_mean_c446,0.8759689976111115,
support_mean_c448,0.4131000813777778,
support_mean_c449,1.1867449865555557,
support_mean_c451,0.6063551329888889,
support_mean_c453,0.8150301465555556,
support_mean_c454,0.4020440073666667,
support_mean_c455,0.6526493328,
support_mean_c457,0.9247440885555556,
support_mean_c46,0.5537322057777778,
support_mean_c461,2.320273546666667,
support_mean_c465,1.0628584399999998,
support_mean_c466,0.9876771441111111,
support_mean_c468,0.4546880339555556,
support_mean_c474,0.9961642784444444,
support_mean_c475,0.750846688888889,
support_mean_c478,0.5132801984611111,
support_mean_c479,0.7478300866666667,
support_mean_c48,0.6224956194444444,
support_mean_c481,0.9480122812222223,
support_mean_c484,0.7638878134444445,
support_mean_c485,0.7771181445555557,
support_mean_c486,0.5473470564444445,
support_mean_c488,0.5415782761555556,
support_mean_c491,0.9548671158888891,
support_mean_c494,0.6700129492222223,
support_mean_c498,0.40513027956666664,
support_mean_c500,1.1021234853333333,
support_mean_c502,0.7649828778444443,
support_mean_c504,0.6831791816666667,
support_mean_c505,0.5572582321999999,
support_mean_c506,0.8101622339000002,
support_mean_c508,0.5174568521666667,
support_mean_c512,1.643121168888889,
support_mean_c515,0.8630429580555555,
support_mean_c516,0.5946188856611111,
support_mean_c517,0.4649433880444444,
support_mean_c518,3.763653853333334,
support_mean_c519,0.7407158036666668,
support_mean_c52,0.6807586910000001,
support_mean_c520,1.0075308228333335,
support_mean_c526,0.3729971155222222,
support_mean_c527,0.8838005342222223,
support_mean_c528,0.6365712031555556,
support_mean_c53,0.5431748073555556,
support_mean_c532,0.9199750655266666,
