,0
support_std_c754,0.9807680021111113
support_std_c171,0.9795939625555558
support_std_c504,0.976157731
support_std_c808,0.9756721983333332
support_std_c42,0.9723786954444443
support_std_c140,0.9694916016666666
support_std_c428,0.9693302154000001
support_std_c741,0.9692501407777778
support_std_c732,0.967313770888889
support_std_c983,0.9658918519444444
support_std_c757,0.9657954223333334
support_std_c214,0.9606228880000001
support_std_c66,0.9598123743055555
support_std_c478,0.9595125059555556
support_std_c256,0.9586246915555555
support_std_c855,0.9576909754444444
support_std_c235,0.9537523249444446
support_std_c517,0.9532107218888888
support_std_c516,0.9513486576000001
support_std_c766,0.9511153098888889
support_std_c381,0.9510086694888888
support_std_c563,0.949513539111111
support_std_c479,0.9447589752222222
support_std_c46,0.9398305112222224
support_std_c6,0.9391316296666665
support_std_c872,0.9376848731111112
support_std_c60,0.9360958158888888
support_std_c475,0.9309351531111113
support_std_c500,0.9309075092222223
support_std_c169,0.9238614179999999
support_std_c711,0.9236287606222221
support_std_c347,0.9233505713333332
support_std_c1,0.9227497889999998
support_std_c204,0.9214019235555556
support_std_c352,0.919292517888889
support_std_c606,0.9178238778888888
support_std_c157,0.9165456598888888
support_std_c670,0.9160922048888889
support_std_c107,0.9157280695555555
support_std_c273,0.9147802408888887
support_std_c884,0.9144267730000002
support_std_c359,0.9136541662333334
support_std_c665,0.9124872853333333
support_std_c266,0.9122826730666668
support_std_c12,0.9101842955222225
support_std_c778,0.9096544685555555
support_std_c376,0.9088932055111112
support_std_c655,0.9070301369333333
support_std_c790,0.9061583262222224
support_std_c1012,0.9056668713777777
support_std_c420,0.9007420194444445
support_std_c276,0.8991521570000001
support_std_c287,0.8989784354444443
support_std_c275,0.8970968105555555
support_std_c597,0.8897331178888891
support_std_c693,0.8894337567777778
support_std_c449,0.8886693725555556
support_std_c651,0.8860382467777778
support_std_c293,0.8820354278444444
support_std_c453,0.8808645393333333
support_std_c310,0.8772081491111111
support_std_c762,0.876752161
support_std_c1006,0.8757298037777778
support_std_c751,0.8756771022222223
support_std_c1023,0.8742972915555557
support_std_c268,0.8716121531111111
support_std_c363,0.8704004607777779
support_std_c675,0.8701844973333333
support_std_c691,0.8697577546666666
support_std_c3,0.8687512925555557
support_std_c705,0.8685065354444443
support_std_c961,0.868463276
support_std_c431,0.8667742115555555
support_std_c260,0.8660425280666667
support_std_c1003,0.8641308294999999
support_std_c637,0.8634770262222222
support_std_c187,0.8632790067222221
support_std_c593,0.8608885702222221
support_std_c494,0.8605256414444443
support_std_c118,0.8603068253333334
support_std_c374,0.8600019261111111
support_std_c771,0.8598562270000001
support_std_c218,0.8597636284444446
support_std_c561,0.8584169955666667
support_std_c862,0.8556865548555556
support_std_c943,0.8550659291111109
support_std_c905,0.8535708044999999
support_std_c968,0.8518750366666668
support_std_c798,0.8515942081111111
support_std_c488,0.8507422291111111
support_std_c866,0.8495768387777779
support_std_c1013,0.8486819961111113
support_std_c967,0.8474876865555556
support_std_c364,0.8470955886666668
support_std_c878,0.8469217644444444
support_std_c251,0.8447343741111111
support_std_c174,0.8406036499444445
support_std_c468,0.8401806646666666
support_std_c776,0.839958444
support_std_c806,0.8391857171777777
support_std_c979,0.8377614555555555
support_std_c960,0.8361078021111112
support_std_c194,0.8354600225555556
support_std_c656,0.8321781327777777
support_std_c923,0.8284233678444445
support_std_c947,0.824351827
support_std_c14,0.8242206393333333
support_std_c736,0.8242107145555555
support_std_c339,0.8219415492222224
support_std_c794,0.8204428014444444
support_std_c791,0.817117011111111
support_std_c946,0.8167886296666665
support_std_c474,0.8164559787777778
support_std_c192,0.8095676516666667
support_std_c653,0.8075032656999999
support_std_c708,0.805848637277778
support_std_c370,0.8048351904444445
support_std_c457,0.8040587995555556
support_std_c502,0.8036932897333334
support_std_c153,0.8033152646666665
support_std_c694,0.8029271547222223
support_std_c951,0.8022969232222222
support_std_c552,0.8021046172222221
support_std_c212,0.8020402217777777
support_std_c128,0.802028796
support_std_c568,0.8012962661111112
